Time_s,Truth_kph,RawMT_kph,RawValid,Method,Kalman_kph,KalmanAccel_kph_s
0.33,0.611508911599435,NaN,0,T,0,0
0.331,0.612488885667769,0,1,T,0,0
0.332,0.613462133905503,NaN,0,T,0,0
0.333,0.614428652961255,NaN,0,T,0,0
0.334,0.615388439613816,NaN,0,T,0,0
0.335,0.616341490772208,NaN,0,T,0,0
0.336,0.617287803475751,NaN,0,T,0,0
0.337,0.618227374894113,NaN,0,T,0,0
0.338,0.61916020232737,NaN,0,T,0,0
0.339,0.620086283206057,NaN,0,T,0,0
0.34,0.621005615091215,NaN,0,T,0,0
0.341,0.621918195674441,0,1,T,0,0
0.342,0.622824022777932,NaN,0,T,0,0
0.343,0.623723094354527,NaN,0,T,0,0
0.344,0.624615408487746,NaN,0,T,0,0
0.345,0.625500963391828,NaN,0,T,0,0
0.346,0.626379757411767,NaN,0,T,0,0
0.347,0.627251789023338,NaN,0,T,0,0
0.348,0.628117056833135,NaN,0,T,0,0
0.349,0.628975559578591,NaN,0,T,0,0
0.35,0.629827296128006,NaN,0,T,0,0
0.351,0.630672265480568,0,1,T,0,0
0.352,0.631510466766372,NaN,0,T,0,0
0.353,0.632341899246437,NaN,0,T,0,0
0.354,0.633166562312721,NaN,0,T,0,0
0.355,0.633984455488132,NaN,0,T,0,0
0.356,0.634795578426538,NaN,0,T,0,0
0.357,0.635599930912771,NaN,0,T,0,0
0.358,0.636397512862636,NaN,0,T,0,0
0.359,0.637188324322909,NaN,0,T,0,0
0.36,0.637972365471336,NaN,0,T,0,0
0.361,0.638749636616631,0,1,T,0,0
0.362,0.63952013819847,NaN,0,T,0,0
0.363,0.640283870787483,NaN,0,T,0,0
0.364,0.64104083508524,NaN,0,T,0,0
0.365,0.64179103192424,NaN,0,T,0,0
0.366,0.642534462267897,NaN,0,T,0,0
0.367,0.643271127210516,NaN,0,T,0,0
0.368,0.644001027977274,NaN,0,T,0,0
0.369,0.644724165924199,NaN,0,T,0,0
0.37,0.645440542538141,NaN,0,T,0,0
0.371,0.646150159436744,0,1,T,0,0
0.372,0.646853018368413,NaN,0,T,0,0
0.373,0.647549121212284,NaN,0,T,0,0
0.374,0.648238469978184,NaN,0,T,0,0
0.375,0.648921066806595,NaN,0,T,0,0
0.376,0.649596913968609,NaN,0,T,0,0
0.377,0.650266013865887,NaN,0,T,0,0
0.378,0.650928369030614,NaN,0,T,0,0
0.379,0.651583982125444,NaN,0,T,0,0
0.38,0.652232855943455,NaN,0,T,0,0
0.381,0.652874993408091,0,1,T,0,0
0.382,0.653510397573107,NaN,0,T,0,0
0.383,0.65413907162251,NaN,0,T,0,0
0.384,0.654761018870496,NaN,0,T,0,0
0.385,0.655376242761388,NaN,0,T,0,0
0.386,0.655984746869568,NaN,0,T,0,0
0.387,0.656586534899407,NaN,0,T,0,0
0.388,0.657181610685195,NaN,0,T,0,0
0.389,0.657769978191068,NaN,0,T,0,0
0.39,0.658351641510928,NaN,0,T,0,0
0.391,0.658926604868365,0,1,T,0,0
0.392,0.659494872616576,NaN,0,T,0,0
0.393,0.660056449238282,NaN,0,T,0,0
0.394,0.660611339345638,NaN,0,T,0,0
0.395,0.661159547680146,NaN,0,T,0,0
0.396,0.661701079112564,NaN,0,T,0,0
0.397,0.662235938642808,NaN,0,T,0,0
0.398,0.662764131399861,NaN,0,T,0,0
0.399,0.663285662641669,NaN,0,T,0,0
0.4,0.663800537755041,NaN,0,T,0,0
0.401,0.664308762255545,0,1,T,0,0
0.402,0.664810341787401,NaN,0,T,0,0
0.403,0.665305282123372,NaN,0,T,0,0
0.404,0.665793589164652,NaN,0,T,0,0
0.405,0.666275268940753,NaN,0,T,0,0
0.406,0.666750327609385,NaN,0,T,0,0
0.407,0.667218771456343,NaN,0,T,0,0
0.408,0.667680606895378,NaN,0,T,0,0
0.409,0.66813584046808,NaN,0,T,0,0
0.41,0.668584478843744,NaN,0,T,0,0
0.411,0.66902652881925,0,1,T,0,0
0.412,0.669461997318923,NaN,0,T,0,0
0.413,0.669890891394403,NaN,0,T,0,0
0.414,0.67031321822451,NaN,0,T,0,0
0.415,0.670728985115103,NaN,0,T,0,0
0.416,0.671138199498937,NaN,0,T,0,0
0.417,0.671540868935524,NaN,0,T,0,0
0.418,0.671937001110981,NaN,0,T,0,0
0.419,0.672326603837888,NaN,0,T,0,0
0.42,0.67270968505513,NaN,0,T,0,0
0.421,0.673086252827749,0,1,T,0,0
0.422,0.673456315346784,NaN,0,T,0,0
0.423,0.673819880929114,NaN,0,T,0,0
0.424,0.6741769580173,NaN,0,T,0,0
0.425,0.674527555179416,NaN,0,T,0,0
0.426,0.674871681108887,NaN,0,T,0,0
0.427,0.67520934462432,NaN,0,T,0,0
0.428,0.675540554669335,NaN,0,T,0,0
0.429,0.67586532031239,NaN,0,T,0,0
0.43,0.676183650746603,NaN,0,T,0,0
0.431,0.676495555289581,0,1,T,0,0
0.432,0.676801043383235,NaN,0,T,0,0
0.433,0.677100124593597,NaN,0,T,0,0
0.434,0.677392808610638,NaN,0,T,0,0
0.435,0.677679105248077,NaN,0,T,0,0
0.436,0.677959024443194,NaN,0,T,0,0
0.437,0.678232576256637,NaN,0,T,0,0
0.438,0.678499770872228,NaN,0,T,0,0
0.439,0.678760618596762,NaN,0,T,0,0
0.44,0.679015129859814,NaN,0,T,0,0
0.441,0.679263315213533,0,1,T,0,0
0.442,0.679505185332437,NaN,0,T,0,0
0.443,0.679740751013212,NaN,0,T,0,0
0.444,0.679970023174496,NaN,0,T,0,0
0.445,0.680193012856673,NaN,0,T,0,0
0.446,0.680409731221659,NaN,0,T,0,0
0.447,0.680620189552682,NaN,0,T,0,0
0.448,0.680824399254069,NaN,0,T,0,0
0.449,0.681022371851021,NaN,0,T,0,0
0.45,0.681214118989393,NaN,0,T,0,0
0.451,0.681399652435469,0,1,T,0,0
0.452,0.68157898407573,NaN,0,T,0,0
0.453,0.681752125916631,NaN,0,T,0,0
0.454,0.68191909008436,NaN,0,T,0,0
0.455,0.682079888824614,NaN,0,T,0,0
0.456,0.682234534502352,NaN,0,T,0,0
0.457,0.682383039601563,NaN,0,T,0,0
0.458,0.68252541672502,NaN,0,T,0,0
0.459,0.682661678594038,NaN,0,T,0,0
0.46,0.68279183804823,NaN,0,T,0,0
0.461,0.682915908045254,0,1,T,0,0
0.462,0.683033901660567,NaN,0,T,0,0
0.463,0.683145832087167,NaN,0,T,0,0
0.464,0.683251712635345,NaN,0,T,0,0
0.465,0.683351556732418,NaN,0,T,0,0
0.466,0.68344537792248,NaN,0,T,0,0
0.467,0.68353318986613,NaN,0,T,0,0
0.468,0.683615006340214,NaN,0,T,0,0
0.469,0.683690841237558,NaN,0,T,0,0
0.47,0.683760708566695,NaN,0,T,0,0
0.471,0.683824622451599,0,1,T,0,0
0.472,0.683882597131411,NaN,0,T,0,0
0.473,0.683934646960159,NaN,0,T,0,0
0.474,0.683980786406486,NaN,0,T,0,0
0.475,0.684021030053367,NaN,0,T,0,0
0.476,0.684055392597828,NaN,0,T,0,0
0.477,0.684083888850661,NaN,0,T,0,0
0.478,0.684106533736139,NaN,0,T,0,0
0.479,0.684123342291723,NaN,0,T,0,0
0.48,0.684134329667778,NaN,0,T,0,0
0.481,0.684139511127275,0,1,T,0,0
0.482,0.684138902045496,NaN,0,T,0,0
0.483,0.684132517909737,NaN,0,T,0,0
0.484,0.684120374319012,NaN,0,T,0,0
0.485,0.684102486983745,NaN,0,T,0,0
0.486,0.68407887172547,NaN,0,T,0,0
0.487,0.684049544476526,NaN,0,T,0,0
0.488,0.684014521279744,NaN,0,T,0,0
0.489,0.683973818288142,NaN,0,T,0,0
0.49,0.68392745176461,NaN,0,T,0,0
0.491,0.683875438081594,0,1,T,0,0
0.492,0.683817793720783,NaN,0,T,0,0
0.493,0.683754535272786,NaN,0,T,0,0
0.494,0.683685679436814,NaN,0,T,0,0
0.495,0.683611243020357,NaN,0,T,0,0
0.496,0.683531242938856,NaN,0,T,0,0
0.497,0.68344569621538,NaN,0,T,0,0
0.498,0.683354619980292,NaN,0,T,0,0
0.499,0.683258031470922,NaN,0,T,0,0
0.5,0.683155948031232,NaN,0,T,0,0
0.501,0.683048387111477,0,1,T,0,0
0.502,0.682935366267873,NaN,0,T,0,0
0.503,0.682816903162255,NaN,0,T,0,0
0.504,0.682693015561734,NaN,0,T,0,0
0.505,0.682563721338356,NaN,0,T,0,0
0.506,0.682429038468753,NaN,0,T,0,0
0.507,0.682288985033799,NaN,0,T,0,0
0.508,0.682143579218258,NaN,0,T,0,0
0.509,0.681992839310431,NaN,0,T,0,0
0.51,0.681836783701806,NaN,0,T,0,0
0.511,0.681675430886697,0,1,T,0,0
0.512,0.681508799461893,NaN,0,T,0,0
0.513,0.681336908126292,NaN,0,T,0,0
0.514,0.681159775680541,NaN,0,T,0,0
0.515,0.680977421026677,NaN,0,T,0,0
0.516,0.680789863167753,NaN,0,T,0,0
0.517,0.680597121207477,NaN,0,T,0,0
0.518,0.680399214349841,NaN,0,T,0,0
0.519,0.680196161898747,NaN,0,T,0,0
0.52,0.679987983257636,NaN,0,T,0,0
0.521,0.679774697929114,0,1,T,0,0
0.522,0.679556325514569,NaN,0,T,0,0
0.523,0.679332885713799,NaN,0,T,0,0
0.524,0.679104398324625,NaN,0,T,0,0
0.525,0.678870883242513,NaN,0,T,0,0
0.526,0.678632360460185,NaN,0,T,0,0
0.527,0.678388850067234,NaN,0,T,0,0
0.528,0.678140372249736,NaN,0,T,0,0
0.529,0.677886947289858,NaN,0,T,0,0
0.53,0.677628595565466,NaN,0,T,0,0
0.531,0.677365337549734,0,1,T,0,0
0.532,0.677097193810743,NaN,0,T,0,0
0.533,0.676824185011085,NaN,0,T,0,0
0.534,0.676546331907464,NaN,0,T,0,0
0.535,0.676263655350296,NaN,0,T,0,0
0.536,0.675976176283301,NaN,0,T,0,0
0.537,0.675683915743103,NaN,0,T,0,0
0.538,0.675386894858818,NaN,0,T,0,0
0.539,0.675085134851652,NaN,0,T,0,0
0.54,0.674778657034482,NaN,0,T,0,0
0.541,0.674467482811451,0,1,T,0,0
0.542,0.67415163367755,NaN,0,T,0,0
0.543,0.673831131218204,NaN,0,T,0,0
0.544,0.673505997108854,NaN,0,T,0,0
0.545,0.673176253114536,NaN,0,T,0,0
0.546,0.672841921089462,NaN,0,T,0,0
0.547,0.672503022976598,NaN,0,T,0,0
0.548,0.672159580807237,NaN,0,T,0,0
0.549,0.671811616700574,NaN,0,T,0,0
0.55,0.671459152863278,NaN,0,T,0,0
0.551,0.671102211589063,0,1,T,0,0
0.552,0.670740815258257,NaN,0,T,0,0
0.553,0.670374986337367,NaN,0,T,0,0
